PlayerID	PlayerName	PlayerTrueName	League	TeamName3	Year	Position	Comment	StartDate	EndDate
155	Granger	Granger, Danny	NBA	IND	2009-2010	3.4	SeasonStart	2009-10-26	2010-07-01
158	Nelson	Nelson, Jameer	NBA	ORL	2009-2010	1	SeasonStart	2009-10-26	2010-07-01
163	Evans	Evans, Reggie	NBA	TOR	2009-2010	4	SeasonStart	2009-10-26	2010-07-01
164	Kaman	Kaman, Chris	NBA	LAC	2009-2010	5	SeasonStart	2009-10-26	2010-07-01
166	R. Allen	Allen, Ray	NBA	BOS	2009-2010	2.2	SeasonStart	2009-10-26	2010-07-01
167	Brand	Brand, Elton	NBA	PHI	2009-2010	4.2	SeasonStart	2009-10-26	2010-07-01
168	Petro	Petro, Johan	NBA	DEN	2009-2010	4.8	SeasonStart	2009-10-26	2010-07-01
169	Ross	Ross, Quinton	NBA	DAL	2009-2010	2.6	SeasonStart	2009-10-26	2010-02-13
169	Ross	Ross, Quinton	NBA	WAS	2009-2010	2.6	20100217MINWAS	2010-02-13	2010-07-01
170	Lewis	Lewis, Rashard	NBA	ORL	2009-2010	4	SeasonStart	2009-10-26	2010-07-01
171	Mobley	Mobley, Cuttino	NBA	NYK	2009-2010	2	SeasonStart	2009-10-26	2010-07-01
172	Collison	Collison, Nick	NBA	OKC	2009-2010	4.6	SeasonStart	2009-10-26	2010-07-01
173	Ridnour	Ridnour, Luke	NBA	MIL	2009-2010	1	SeasonStart	2009-10-26	2010-07-01
174	Murray	Murray, Ronald (Flip)	NBA	CHI	2009-2010	1.6	20100219CHIMIN	2010-02-18	2010-07-01
174	Murray	Murray, Ronald (Flip)	NBA	CHA	2009-2010	1.6	SeasonStart	2009-10-26	2010-02-18
176	Wilkins	Wilkins, Damien	NBA	MIN	2009-2010	2.4	SeasonStart	2009-10-26	2010-07-01
178	Singleton	Singleton, James	NBA	DAL	2009-2010	3.8	SeasonStart	2009-10-26	2010-02-13
178	Singleton	Singleton, James	NBA	WAS	2009-2010	3.8	20100217MINWAS	2010-02-13	2010-07-01
180	Radmanovic	Radmanovic, Vladimir	NBA	GSW	2009-2010	3	Trade	2009-11-16	2010-07-01
180	Radmanovic	Radmanovic, Vladimir	NBA	CHA	2009-2010	3	SeasonStart	2009-10-26	2009-11-15
181	Wilcox	Wilcox, Chris	NBA	DET	2009-2010	4.4	SeasonStart	2009-10-26	2010-07-01
186	Bryant	Bryant, Kobe	NBA	LAL	2009-2010	2	SeasonStart	2009-10-26	2010-07-01
187	Odom	Odom, Lamar	NBA	LAL	2009-2010	4	SeasonStart	2009-10-26	2010-07-01
189	Brown	Brown, Kwame	NBA	DET	2009-2010	5	SeasonStart	2009-10-26	2010-07-01
190	George	George, Devean	NBA	GSW	2009-2010	3	SeasonStart	2009-10-26	2010-07-01
191	Cook	Cook, Brian	NBA	HOU	2009-2010	4	SeasonStart	2009-10-26	2010-07-01
193	Vujacic	Vujacic, Sasha	NBA	LAL	2009-2010	1.8	SeasonStart	2009-10-26	2010-07-01
194	Bynum	Bynum, Andrew	NBA	LAL	2009-2010	5	SeasonStart	2009-10-26	2010-07-01
196	Williams	Williams, Jason	NBA	ORL	2009-2010	1	SeasonStart	2009-10-26	2010-07-01
197	Gasol	Gasol, Pau	NBA	LAL	2009-2010	4.6	SeasonStart	2009-10-26	2010-07-01
198	Battier	Battier, Shane	NBA	HOU	2009-2010	2.6	SeasonStart	2009-10-26	2010-07-01
199	Wright	Wright, Lorenzen	NBA	CLE	2009-2010	5	SeasonStart	2009-10-26	2010-07-01
